vp,session,trial_type,trial,freq_log,peak_time_log,peak_amplitude_log,peak_time_log_db,peak_amplitude_log_db,peak_time_log_db_bsl,peak_amplitude_log_db_bsl,freq_lin,peak_time_lin,peak_amplitude_lin,peak_time_lin_db,peak_amplitude_lin_db,peak_time_lin_db_bsl,peak_amplitude_lin_db_bsl
1,1,1,7,4,0.421,0.00191704661119729,0.421,-27.1742343902588,0.421,4.5969500541687,4,0.421,0.00191704661119729,0.421,-27.1742343902588,0.421,4.5969500541687
1,1,1,7,4.36203093066103,0.421,0.00122295622713864,0.421,-29.1278018951416,0.421,2.20173668861389,4.5,0.421,0.00101227301638573,0.421,-29.9497127532959,0.421,1.39412271976471
1,1,1,7,4.75682846001088,0.421,0.00069765979424119,0.421,-31.5684146881104,0.421,0.00948387198150158,5,0.421,0.000479978712974116,0.421,-33.1964836120605,0.421,-1.20200061798096
1,1,1,7,5.18735821860404,0.421,0.000354697986040264,0.421,-34.515754699707,0.421,-2.10460925102234,5.5,0.313,0.000207655481062829,0.313,-36.8275566101074,0.313,-3.59735608100891
1,1,1,7,5.65685424949238,0.313,0.000177152120159008,0.313,-37.5179100036621,0.313,-3.84163355827332,6,0.313,0.00013273092918098,0.313,-38.774341583252,0.313,-4.09870290756226
1,1,1,7,6.16884330163176,0.313,0.000118586758617312,0.313,-39.2675170898438,0.313,-4.10796594619751,6.5,0.325,0.000103090096672531,0.325,-39.8784980773926,0.325,-3.81733870506287
1,1,1,7,6.72717132202972,0.325,9.83286736300215e-05,0.325,-40.0893287658691,0.325,-3.45603370666504,7,0.337,9.73787609837018e-05,0.337,-40.1422538757324,0.337,-2.87238478660583
1,1,1,7,7.33603234563737,0.337,0.000103539219708182,0.337,-39.8679847717285,0.337,-1.8781818151474,7.5,0.337,0.00010761709563667,0.337,-39.700366973877,0.337,-1.37926518917084
1,1,1,7,8,0.337,0.00012170999252703,0.337,-39.1708106994629,0.337,0.103303246200085,8,0.337,0.00012170999252703,0.337,-39.1708106994629,0.337,0.103303246200085
1,1,1,8,4,0.421,7.74093641666695e-05,0.421,-41.2610778808594,0.421,-3.94735765457153,4,0.421,7.74093641666695e-05,0.421,-41.2610778808594,0.421,-3.94735765457153
1,1,1,8,4.36203093066103,0.421,6.83227626723237e-05,0.421,-41.6880416870117,0.421,-2.46226382255554,4.5,0.421,6.42858431092463e-05,0.421,-41.9270935058594,0.421,-2.10109376907349
1,1,1,8,4.75682846001088,0.277,9.052139648702e-05,0.277,-40.4352340698242,0.277,0.136443585157394,5,0.277,0.00011159847053932,0.277,-39.524772644043,0.277,1.29916858673096
1,1,1,8,5.18735821860404,0.277,0.000123105754028074,0.277,-39.0975227355957,0.277,1.71101462841034,5.5,0.301,0.000133897789055482,0.301,-38.7324638366699,0.301,1.87620556354523
1,1,1,8,5.65685424949238,0.313,0.000138380564749241,0.313,-38.5894432067871,0.313,1.90226578712463,6,0.337,0.000147818776895292,0.337,-38.3028793334961,0.337,1.98454749584198
1,1,1,8,6.16884330163176,0.349,0.000151813612319529,0.349,-38.1871070861816,0.349,2.04027247428894,6.5,0.349,0.000156713096657768,0.349,-38.0492477416992,0.349,2.14830589294434
1,1,1,8,6.72717132202972,0.361,0.000157131391461007,0.361,-38.0376815795898,0.361,2.20585536956787,7,0.349,0.000154381486936472,0.349,-38.1145515441895,0.349,2.25053143501282
