vp,session,trial_type,trial,freq_log,peak_time_log,peak_amplitude_log,peak_time_log_db,peak_amplitude_log_db,peak_time_log_db_bsl,peak_amplitude_log_db_bsl,freq_lin,peak_time_lin,peak_amplitude_lin,peak_time_lin_db,peak_amplitude_lin_db,peak_time_lin_db_bsl,peak_amplitude_lin_db_bsl
1,1,1,2,5.18735821860404,0.317,0.00213736854493618,0.309,-26.7020702362061,0.309,14.3901271820068,5.5,0.313,0.00194242282304913,0.305,-27.1279735565186,0.305,14.219331741333
1,1,1,2,5.65685424949238,0.317,0.0018349951133132,0.309,-27.3578281402588,0.309,13.9237365722656,6,0.313,0.00160451314877719,0.305,-27.9501037597656,0.305,12.9968500137329
1,1,1,2,6.16884330163176,0.317,0.00148490478750318,0.309,-28.2625389099121,0.309,12.5055627822876,6.5,0.313,0.00127202551811934,0.305,-28.9355525970459,0.305,11.558708190918
1,1,1,2,6.72717132202972,0.317,0.00112160260323435,0.309,-29.4454040527344,0.309,10.9427061080933,7,0.313,0.00097152340458706,0.305,-30.0627002716064,0.305,10.2866621017456
1,1,1,2,7.33603234563737,0.317,0.000782815448474139,0.309,-30.9414615631104,0.309,9.47389125823975,7.5,0.313,0.000717953953426331,0.305,-31.3139171600342,0.305,9.17014408111572
1,1,1,2,8,0.317,0.000500806083437055,0.309,-32.7847328186035,0.309,8.01296138763428,8,0.313,0.000515838095452636,0.305,-32.6729049682617,0.305,8.12479114532471
1,1,1,3,4,0.453,0.000771046557929367,0.393,-31.6977291107178,0.393,4.18578720092773,4,0.457,0.000767986814025789,0.389,-31.791654586792,0.389,4.09186124801636
1,1,1,3,4.36203093066103,0.453,0.00065940449712798,0.393,-32.5078163146973,0.393,4.16022253036499,4.5,0.457,0.000618379621300846,0.389,-32.9179992675781,0.389,4.09938812255859
1,1,1,3,4.75682846001088,0.453,0.00055670813890174,0.393,-33.2919235229492,0.393,4.42181158065796,5,0.457,0.000494809180963784,0.389,-33.8856239318848,0.389,4.52310132980347
1,1,1,3,5.18735821860404,0.453,0.000454668566817418,0.393,-34.1141967773438,0.393,4.8455696105957,5.5,0.457,0.000378369062673301,0.389,-34.9096412658691,0.389,4.98626613616943
1,1,1,3,5.65685424949238,0.453,0.00034490370308049,0.393,-35.1671485900879,0.393,5.19775295257568,6,0.457,0.000265315582510084,0.389,-36.1908645629883,0.389,5.15964984893799
1,1,1,3,6.16884330163176,0.453,0.000230274235946126,0.393,-36.6246070861816,0.393,5.17055034637451,6.5,0.457,0.000165635719895363,0.389,-37.7285385131836,0.389,4.81756973266602
1,1,1,3,6.72717132202972,0.453,0.000126761762658134,0.393,-38.5177726745605,0.393,4.43479919433594,7,0.457,9.08835718291812e-05,0.389,-39.3553581237793,0.389,3.97039580345154
1,1,1,3,7.33603234563737,0.453,5.41764638910536e-05,0.393,-40.6230735778809,0.393,3.02261734008789,7.5,0.457,4.55045701528434e-05,0.389,-40.7886009216309,0.389,2.97304558753967
1,1,1,3,8,0.453,2.14609408430988e-05,0.393,-42.2528343200684,0.393,1.76921164989471,8,0.457,2.54962687904481e-05,0.389,-41.6755104064941,0.389,2.34653496742249
1,1,1,4,4,0.421,0.000334339856635779,0.425,-34.8613357543945,0.425,-3.80300521850586,4,0.425,0.000327705027302727,0.429,-34.9577713012695,0.429,-3.8994402885437
1,1,1,4,4.36203093066103,0.421,0.000313813361572102,0.425,-35.0714378356934,0.425,-3.09465575218201,4.5,0.425,0.000305015390040353,0.429,-35.1853446960449,0.429,-2.74531316757202
1,1,1,4,4.75682846001088,0.421,0.000294232420856133,0.425,-35.309211730957,0.425,-1.91828835010529,5,0.425,0.000285663089016452,0.429,-35.4367485046387,0.429,-1.09396743774414
1,1,1,4,5.18735821860404,0.421,0.000277471437584609,0.425,-35.550121307373,0.425,-0.465289026498795,5.5,0.425,0.0002647609799169,0.429,-35.7666206359863,0.429,0.547020971775055
1,1,1,4,5.65685424949238,0.421,0.000255296210525557,0.425,-35.9160346984863,0.425,1.00525736808777,6,0.425,0.00023290490207728,0.429,-36.3317184448242,0.429,1.89475786685944
1,1,1,4,6.16884330163176,0.421,0.000219086316064931,0.425,-36.5884704589844,0.425,2.26734256744385,6.5,0.425,0.000189954385859892,0.429,-37.2204475402832,0.429,2.84190988540649
1,1,1,4,6.72717132202972,0.421,0.000168302096426487,0.425,-37.7359809875488,0.425,3.12971425056458,7,0.425,0.000142395030707121,0.429,-38.4660339355469,0.429,3.33432769775391
1,1,1,4,7.33603234563737,0.421,0.000111378729343414,0.425,-39.5212593078613,0.425,3.38022994995117,7.5,0.425,9.77057934505865e-05,0.429,-40.0862312316895,0.429,3.33114314079285
1,1,1,4,8,0.421,6.0741094785044e-05,0.425,-42.140697479248,0.425,2.75784826278687,8,0.425,6.114842108218e-05,0.429,-42.0996894836426,0.429,2.79885935783386
1,1,1,5,4,0.457,0.00105899106711149,0.457,-29.8201580047607,0.457,8.8504638671875,4,0.457,0.00105899106711149,0.457,-29.8201580047607,0.457,8.8504638671875
1,1,1,5,4.36203093066103,0.457,0.00129438866861165,0.457,-28.9267463684082,0.457,9.24488162994385,4.5,0.457,0.00136456626933068,0.457,-28.6899166107178,0.457,9.49137115478516
1,1,1,5,4.75682846001088,0.457,0.00143472652416676,0.457,-28.4614868164062,0.457,9.92546081542969,5,0.457,0.00141764443833381,0.457,-28.5070838928223,0.457,10.2110977172852
1,1,1,5,5.18735821860404,0.457,0.00135328120086342,0.457,-28.7058963775635,0.457,10.300124168396,5.5,0.457,0.00117515993770212,0.457,-29.3167285919189,0.457,10.1224355697632
1,1,1,5,5.65685424949238,0.457,0.00106687261722982,0.457,-29.7366580963135,0.457,9.86148643493652,6,0.457,0.000822838686872274,0.457,-30.8671016693115,0.457,8.90000820159912
1,1,1,5,6.16884330163176,0.457,0.000710176420398057,0.457,-31.5088672637939,0.457,8.26181697845459,6.5,0.457,0.000518342771101743,0.457,-32.8827056884766,0.457,6.81172847747803
1,1,1,5,6.72717132202972,0.457,0.000412250345107168,0.457,-33.8828659057617,0.457,5.74627065658569,7,0.457,0.000311295763822272,0.457,-35.1105728149414,0.457,4.47397947311401
