vp,session,trial_type,trial,freq_log,peak_time_log,peak_amplitude_log,peak_time_log_db,peak_amplitude_log_db,peak_time_log_db_bsl,peak_amplitude_log_db_bsl,freq_lin,peak_time_lin,peak_amplitude_lin,peak_time_lin_db,peak_amplitude_lin_db,peak_time_lin_db_bsl,peak_amplitude_lin_db_bsl
1,1,1,2,8,0.284,0.00059059530030936,0.284,-32.2895545959473,0.284,8.50813865661621,8,0.284,0.00059059530030936,0.284,-32.2895545959473,0.284,8.50813865661621
1,1,1,3,4,0.448,0.000774786924012005,0.448,-31.1084156036377,0.448,4.77510166168213,4,0.448,0.000774786924012005,0.448,-31.1084156036377,0.448,4.77510166168213
1,1,1,3,4.36203093066103,0.448,0.000663296377751976,0.448,-31.783275604248,0.448,4.88476467132568,4.5,0.448,0.000625898654107004,0.448,-32.0353775024414,0.448,4.9820032119751
1,1,1,3,4.75682846001088,0.448,0.000561406603083014,0.448,-32.5078201293945,0.448,5.20591640472412,5,0.448,0.000503560702782124,0.448,-32.9802627563477,0.448,5.42846441268921
1,1,1,3,5.18735821860404,0.444,0.000460715935332701,0.444,-33.3661842346191,0.444,5.59357976913452,5.5,0.444,0.000386770028853789,0.444,-34.1259727478027,0.444,5.76993274688721
1,1,1,3,5.65685424949238,0.444,0.000349443580489606,0.444,-34.5666656494141,0.444,5.79823637008667,6,0.444,0.000269175012363121,0.444,-35.6998329162598,0.444,5.65067863464355
1,1,1,3,6.16884330163176,0.444,0.000231530124437995,0.444,-36.3539772033691,0.444,5.4411792755127,6.5,0.392,0.000169259932590649,0.392,-37.7147979736328,0.392,4.83130598068237
1,1,1,3,6.72717132202972,0.38,0.000145097641507164,0.38,-38.384880065918,0.38,4.5676965713501,7,0.368,0.000128399711684324,0.368,-38.9174041748047,0.368,4.40835189819336
1,1,1,3,7.33603234563737,0.364,0.000117000643513165,0.364,-39.3262329101562,0.364,4.31945991516113,7.5,0.36,0.000114782917080447,0.36,-39.4082794189453,0.36,4.35336828231812
1,1,1,3,8,0.36,0.000111448760435451,0.36,-39.5435981750488,0.36,4.47844743728638,8,0.36,0.000111448760435451,0.36,-39.5435981750488,0.36,4.47844743728638
